match_id,round,map,bot1_id,bot1_name,bot2_id,bot2_name,result_type,game_steps,duration_minutes,is_timeout,match_created,match_started,result_created
4667867,41408,150,262,whalemean,605,nida,Player1Win,14622,10.88,False,2026-03-04T20:34:26.827069Z,2026-03-04T23:23:23.585666Z,2026-03-04T23:32:54.468576Z
4667877,41408,155,340,MechaShark,168,sharkbot,Player2Win,27766,20.66,False,2026-03-04T20:34:27.005910Z,2026-03-04T23:23:23.167174Z,2026-03-04T23:38:51.686469Z
4667887,41408,155,948,titania,876,GenesisLotus,Player1Win,19675,14.64,False,2026-03-04T20:34:27.129863Z,2026-03-04T23:23:24.428040Z,2026-03-04T23:42:32.211860Z
4667920,41408,149,827,smokinggunbot,971,Nothing,Player2Win,16982,12.64,False,2026-03-04T20:34:27.648424Z,2026-03-04T23:33:30.224409Z,2026-03-04T23:42:37.873894Z
4667865,41408,155,262,whalemean,346,Sharkling,Player2Win,14376,10.7,False,2026-03-04T20:34:26.814092Z,2026-03-04T23:36:33.032603Z,2026-03-04T23:43:53.644638Z
4667875,41408,152,943,puck,971,Nothing,Player1Win,16268,12.1,False,2026-03-04T20:34:26.939700Z,2026-03-04T23:50:42.924733Z,2026-03-04T23:59:32.124190Z
4667957,41408,149,605,nida,115,BenBotBC,Player2Win,18471,13.74,False,2026-03-04T20:34:28.246612Z,2026-03-04T23:56:48.797455Z,2026-03-05T00:04:04.386898Z
4667949,41408,152,201,QueenBot,961,AvocaDOS,Player2Win,13654,10.16,False,2026-03-04T20:34:28.130726Z,2026-03-04T23:51:13.688804Z,2026-03-05T00:04:09.524723Z
4667891,41408,151,168,sharkbot,346,Sharkling,Player1Win,18071,13.45,False,2026-03-04T20:34:27.213158Z,2026-03-04T23:49:11.827119Z,2026-03-05T00:07:53.576023Z
4667930,41408,154,708,Princess-Mika,201,QueenBot,Player1Win,40503,30.14,False,2026-03-04T20:34:27.836451Z,2026-03-04T22:21:53.739272Z,2026-03-05T00:08:01.321345Z
4667919,41408,149,827,smokinggunbot,876,GenesisLotus,Player1Win,8540,6.35,False,2026-03-04T20:34:27.641295Z,2026-03-05T00:04:55.288273Z,2026-03-05T00:08:35.210431Z
4667771,41408,152,518,norman,718,Mulebot,Player1Win,11306,8.41,False,2026-03-04T20:34:25.445679Z,2026-03-04T20:37:24.755819Z,2026-03-04T20:42:44.406289Z
4667711,41408,149,779,oberon,1023,MY_SCRIPTING_SON,Player2Win,26496,19.71,False,2026-03-04T20:34:24.617479Z,2026-03-04T20:36:24.743182Z,2026-03-04T20:43:14.664306Z
4667680,41408,155,117,Chance,709,Laser-Circus,Player1Win,9756,7.26,False,2026-03-04T20:34:24.150572Z,2026-03-04T20:43:30.181235Z,2026-03-04T20:47:59.715623Z
4667767,41408,151,518,norman,759,BotTato,Player2Win,17400,12.95,False,2026-03-04T20:34:25.419809Z,2026-03-04T20:39:26.277176Z,2026-03-04T20:50:13.857929Z
4667733,41408,154,1045,tito,759,BotTato,Player1Win,19344,14.39,False,2026-03-04T20:34:24.930584Z,2026-03-04T20:44:01.871664Z,2026-03-04T20:51:31.032847Z
