bot_lo,bot_hi,bot_lo_name,bot_hi_name,elo_lo,elo_hi,N_normal,N_timelimit,N_abnormal,alpha_normal,alpha_timelimit,alpha_abnormal,W,L,D,n_dur,x_bar,E_A,alpha_win,alpha_draw,alpha_loss,mu_duration,sigma_duration
49,352,MicroMachine,Belzebuth,1950,1134,1,0,0,5.652125,0.12592,0.22196,1,0,0,1,2.223542,0.990962,5.896493,0.05885,0.044657,2.328347,0.200824
49,357,MicroMachine,12PoolBot,1950,1765,23,0,4,27.652125,0.12592,4.22196,21,2,0,23,2.160724,0.743635,24.67441,0.05885,3.26674,2.194399,0.092963
49,374,MicroMachine,SwarmLord,1950,1600,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.882338,4.359766,0.05885,0.581384,2.349308,0.219992
49,446,MicroMachine,Xena,1950,1937,39,0,5,43.652125,0.12592,5.22196,18,21,0,39,2.246268,0.5187,20.562973,0.05885,23.378177,2.257977,0.074159
49,496,MicroMachine,Zozo,1950,2089,36,0,8,40.652125,0.12592,8.22196,2,34,0,36,2.548122,0.309994,3.531726,0.05885,37.409424,2.523876,0.076824
49,510,MicroMachine,PhantomBot,1950,1817,31,0,5,35.652125,0.12592,5.22196,31,0,0,31,2.395217,0.68257,34.372683,0.05885,1.568467,2.388841,0.081986
49,516,MicroMachine,27turtles,1950,1526,1,0,2,5.652125,0.12592,2.22196,1,0,0,1,2.165619,0.919882,5.545273,0.05885,0.395877,2.318693,0.200824
49,517,MicroMachine,VeTerran-revived,1950,1869,34,0,10,38.652125,0.12592,10.22196,32,2,0,34,2.229976,0.614501,35.036343,0.05885,3.904807,2.245275,0.07877
49,518,MicroMachine,norman,1950,1674,5,0,2,9.652125,0.12592,2.22196,5,0,0,5,2.202153,0.830445,9.103353,0.05885,0.837797,2.27573,0.155557
49,526,MicroMachine,Apidae,1950,1635,6,0,2,10.652125,0.12592,2.22196,6,0,0,6,2.301548,0.859759,10.248196,0.05885,0.692954,2.323257,0.148318
49,605,MicroMachine,nida,1950,1693,3,0,2,7.652125,0.12592,2.22196,3,0,0,3,2.272044,0.814484,7.024486,0.05885,0.916664,2.320334,0.173919
49,637,MicroMachine,72Tortoises,1950,1697,8,0,1,12.652125,0.12592,1.22196,8,0,0,8,2.261677,0.810979,12.00717,0.05885,0.93398,2.295381,0.136433
49,699,MicroMachine,Clicadinha,1950,1635,1,0,1,5.652125,0.12592,1.22196,1,0,0,1,2.203869,0.859759,5.248196,0.05885,0.692954,2.325068,0.200824
49,708,MicroMachine,Princess-Mika,1950,1521,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.921977,4.555629,0.05885,0.385521,2.349308,0.219992
49,709,MicroMachine,Laser-Circus,1950,1211,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.985992,4.871935,0.05885,0.069215,2.349308,0.219992
49,718,MicroMachine,Mulebot,1950,1689,11,0,0,15.652125,0.12592,0.22196,11,0,0,11,2.094233,0.817938,15.041553,0.05885,0.899597,2.173944,0.122979
49,720,MicroMachine,PiG_Bot,1950,1627,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.86522,4.27518,0.05885,0.66597,2.349308,0.219992
49,721,MicroMachine,49Terrapins,1950,1430,3,0,0,7.652125,0.12592,0.22196,3,0,0,3,2.223058,0.952273,7.705325,0.05885,0.235825,2.301964,0.173919
49,729,MicroMachine,Alexa,1950,1367,1,0,0,5.652125,0.12592,0.22196,1,0,0,1,1.850028,0.966301,5.77464,0.05885,0.16651,2.266095,0.200824
49,730,MicroMachine,Deimos,1950,2155,39,0,5,43.652125,0.12592,5.22196,5,34,0,39,2.281839,0.235039,6.161362,0.05885,37.779788,2.289506,0.074159
49,732,MicroMachine,GPT,1950,1830,37,0,7,41.652125,0.12592,7.22196,37,0,0,37,2.365256,0.666139,40.291495,0.05885,1.649655,2.363357,0.075904
49,759,MicroMachine,BotTato,1950,1710,25,0,3,29.652125,0.12592,3.22196,25,0,0,25,2.335509,0.79924,28.949165,0.05885,0.991985,2.337808,0.089811
49,779,MicroMachine,oberon,1950,1472,1,0,0,5.652125,0.12592,0.22196,1,0,0,1,1.947338,0.940003,5.644696,0.05885,0.296454,2.282313,0.200824
49,797,MicroMachine,WickedBot,1950,1707,28,0,4,32.652125,0.12592,4.22196,28,0,0,28,2.523596,0.801997,31.962786,0.05885,0.978364,2.497189,0.085632
49,809,MicroMachine,PrimordialOrigin,1950,1258,1,0,0,5.652125,0.12592,0.22196,1,0,0,1,2.141242,0.98172,5.850823,0.05885,0.090327,2.31463,0.200824
49,813,MicroMachine,MewCombatMicro,1950,1511,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.926019,4.575599,0.05885,0.365551,2.349308,0.219992
49,827,MicroMachine,smokinggunbot,1950,1579,1,0,0,5.652125,0.12592,0.22196,1,0,0,1,2.226783,0.89432,5.418969,0.05885,0.522181,2.328887,0.200824
49,832,MicroMachine,muravev,1950,1632,1,0,1,5.652125,0.12592,1.22196,1,0,0,1,2.022871,0.861828,5.258421,0.05885,0.682729,2.294902,0.200824
49,836,MicroMachine,muravevTerran,1950,1477,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.938359,4.636573,0.05885,0.304577,2.349308,0.219992
49,858,MicroMachine,Crawler,1950,1562,2,0,0,6.652125,0.12592,0.22196,2,0,0,2,2.225803,0.903218,6.462938,0.05885,0.478212,2.314021,0.185927
49,876,MicroMachine,GenesisLotus,1950,1411,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.957005,4.728707,0.05885,0.212443,2.349308,0.219992
49,901,MicroMachine,clone,1950,1667,10,0,0,14.652125,0.12592,0.22196,10,0,0,10,2.184273,0.836043,14.131016,0.05885,0.810134,2.239285,0.127012
49,930,MicroMachine,SiriusBot,1950,1519,2,0,0,6.652125,0.12592,0.22196,2,0,0,2,2.082793,0.922802,6.559701,0.05885,0.381449,2.273161,0.185927
49,939,MicroMachine,RustyNikolaj,1950,1539,3,0,0,7.652125,0.12592,0.22196,3,0,0,3,2.415903,0.91419,7.517151,0.05885,0.423999,2.374281,0.173919
49,940,MicroMachine,Princess-Mika-Test,1950,1524,1,0,0,5.652125,0.12592,0.22196,1,0,0,1,2.061787,0.920726,5.549446,0.05885,0.391704,2.301388,0.200824
49,943,MicroMachine,puck,1950,1529,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.9186,4.538939,0.05885,0.402211,2.349308,0.219992
49,948,MicroMachine,titania,1950,1185,0,0,1,4.652125,0.12592,1.22196,0,0,0,0,,0.987916,4.88144,0.05885,0.05971,2.349308,0.219992
