round,bot_id,bot_name,elo,division
6,526,Apidae,1578.77,2
6,1007,SharkGull,1572.57,2
6,516,27turtles,1550.85,2
6,1042,Creepy_duo_canon,1547.49,2
6,981,KoB,1544.91,2
6,1082,Dasyatis,1543.65,2
6,1065,MindMatrix,1541.96,2
6,827,smokinggunbot,1539.4,2
6,1089,WorkingAsIntended,1536.17,3
6,699,Clicadinha,1529.22,3
6,779,oberon,1525.03,3
6,858,Crawler,1521.37,3
6,721,49Terrapins,1518.55,3
6,939,RustyNikolaj,1514.54,3
6,708,Princess-Mika,1514.37,3
6,1050,onlyfans,1512.69,3
6,943,puck,1507.97,3
6,836,muravevTerran,1496.3,3
6,977,Siriusly,1495.47,3
6,1038,PolyMorph,1494.51,3
6,809,PrimordialOrigin,1488.42,3
6,1023,MY_SCRIPTING_SON,1487.56,3
6,117,Chance,1481.29,3
6,1085,AgoraLord,1472.38,3
6,1057,DoopyBot-Test,1469.93,3
6,1044,DoopyBot,1460.83,3
6,876,GenesisLotus,1451.74,3
6,341,gotest,1445.84,3
6,112,Tyckles,1439.35,3
6,729,Alexa,1401.25,3
6,352,Belzebuth,1356.9,3
6,1078,LoremIpsum,1356.56,3
6,1052,Starlight,1312.11,3
6,1026,WildLupo,1299.2,3
6,1049,TheCatSC2Bot,1121.13,3
7,248,Eris,2010.68,1
7,730,Deimos,1992.61,1
7,496,Zozo,1924.67,1
7,49,MicroMachine,1889.34,1
7,115,BenBotBC,1867.82,1
7,1030,who,1841.23,1
7,223,DominionDog,1836.15,1
7,517,VeTerran-revived,1820.23,1
7,966,ArgoBot,1816.47,1
7,262,whalemean,1804.16,1
7,40,SharpenedEdge,1800.35,1
7,168,sharkbot,1762.26,1
7,446,Xena,1746.86,1
7,167,TyrT,1713.39,1
7,357,12PoolBot,1710.06,1
7,1045,tito,1709.86,1
7,346,Sharkling,1707.95,1
7,1060,WildFire,1703.79,1
7,605,nida,1692.32,1
7,759,BotTato,1683.98,1
7,953,ZeratulsRevengeTest,1682.27,1
7,961,AvocaDOS,1680.8,1
7,732,GPT,1674.89,1
7,510,PhantomBot,1671.31,1
7,340,MechaShark,1670.7,1
7,275,Lissy,1660.51,1
7,970,TheLAW,1657.91,1
7,338,smallBly,1643.57,1
7,960,BigDaddy,1636.87,2
7,718,Mulebot,1633.69,2
7,901,clone,1624.26,2
7,1079,JimmyBotT,1623.68,2
7,1080,JimmyBot,1622.53,2
7,998,LordSuperKing,1620.52,2
7,720,PiG_Bot,1618.18,2
7,797,WickedBot,1618.17,2
7,516,27turtles,1614.63,2
7,832,muravev,1609.76,2
7,637,72Tortoises,1605.56,2
7,518,norman,1595.37,2
7,526,Apidae,1593.99,2
7,1058,JimmyBotP,1592.3,2
7,1089,WorkingAsIntended,1591.64,2
7,1008,Creepy_canon,1590.06,2
7,1007,SharkGull,1584.59,2
7,1081,ArtZerg,1575.36,2
7,201,QueenBot,1572.86,2
7,943,puck,1568.75,2
7,699,Clicadinha,1563.75,2
7,1054,JimmyBotZ,1562.15,2
7,939,RustyNikolaj,1562.05,2
7,858,Crawler,1550.15,2
7,827,smokinggunbot,1540.62,2
7,1050,onlyfans,1536.88,2
7,971,Nothing,1536.65,2
7,836,muravevTerran,1525.7,3
7,930,SiriusBot,1519.98,3
7,1085,AgoraLord,1519.38,3
7,1042,Creepy_duo_canon,1513.93,3
7,1082,Dasyatis,1512.53,3
7,981,KoB,1511.04,3
7,708,Princess-Mika,1506.47,3
7,876,GenesisLotus,1503.87,3
7,779,oberon,1502.31,3
7,940,Princess-Mika-Test,1496.42,3
7,721,49Terrapins,1487.73,3
7,1065,MindMatrix,1487.48,3
7,1038,PolyMorph,1483.17,3
7,1023,MY_SCRIPTING_SON,1482.39,3
7,1044,DoopyBot,1469.5,3
7,1057,DoopyBot-Test,1465.95,3
7,977,Siriusly,1462.73,3
7,809,PrimordialOrigin,1430.74,3
7,341,gotest,1422.35,3
7,117,Chance,1399.67,3
7,112,Tyckles,1395.23,3
7,1078,LoremIpsum,1356.9,3
7,352,Belzebuth,1350.13,3
7,729,Alexa,1346.18,3
7,1052,Starlight,1336.84,3
7,1026,WildLupo,1287.84,3
7,1049,TheCatSC2Bot,1102.38,3
8,248,Eris,2026.2,1
8,730,Deimos,2022.89,1
8,496,Zozo,1942.7,1
8,49,MicroMachine,1920.92,1
8,115,BenBotBC,1870.26,1
8,40,SharpenedEdge,1842.03,1
8,223,DominionDog,1835.62,1
8,1030,who,1835.29,1
8,966,ArgoBot,1808.01,1
8,517,VeTerran-revived,1798.72,1
8,262,whalemean,1795.27,1
8,167,TyrT,1769.22,1
8,446,Xena,1761.68,1
8,168,sharkbot,1757.06,1
8,1045,tito,1746.89,1
8,961,AvocaDOS,1726.47,1
8,510,PhantomBot,1705.54,1
8,346,Sharkling,1699.63,1
8,759,BotTato,1694.69,1
8,732,GPT,1692.54,1
8,338,smallBly,1687.22,1
8,901,clone,1687.02,1
8,357,12PoolBot,1679.24,1
8,998,LordSuperKing,1672.35,1
8,960,BigDaddy,1667.63,1
8,340,MechaShark,1663.2,1
8,953,ZeratulsRevengeTest,1659.84,1
8,1060,WildFire,1659.33,1
8,718,Mulebot,1656.77,2
8,526,Apidae,1639.05,2
8,797,WickedBot,1633.72,2
8,637,72Tortoises,1631.64,2
8,605,nida,1624.58,2
8,699,Clicadinha,1614.98,2
8,1007,SharkGull,1611.79,2
8,832,muravev,1607.35,2
8,1079,JimmyBotT,1604.77,2
