round,bot_a,bot_b,outcome_a,duration_minutes,category,division,elo_diff
1,526,510,1.0,12.48,normal,1,11.2
1,526,1049,0.5,7.58,normal,1,78.53
1,526,201,1.0,14.3,normal,1,14.93
1,526,961,1.0,11.92,normal,1,18.71
1,526,1065,1.0,8.43,normal,1,47.99
1,526,970,1.0,9.76,normal,1,32.48
1,526,167,0.0,11.65,normal,1,4.03
1,526,960,1.0,10.88,normal,1,14.83
1,526,49,0.0,7.97,normal,1,15.77
1,526,1030,1.0,8.36,normal,1,30.61
1,526,797,0.0,12.03,normal,1,20.03
1,526,1078,1.0,10.09,normal,1,107.59
1,526,517,0.0,9.42,normal,1,3.78
1,526,1079,0.0,9.75,abnormal,1,11.04
1,720,1007,1.0,9.84,normal,1,10.45
1,720,510,1.0,19.14,normal,1,8.39
1,720,1049,1.0,8.11,normal,1,87.64
1,720,201,1.0,10.92,normal,1,41.27
1,720,961,0.0,8.43,normal,1,7.8
1,720,1065,1.0,11.83,normal,1,56.36
1,720,970,1.0,8.14,normal,1,41.02
1,720,167,0.0,8.71,normal,1,2.98
1,720,960,1.0,7.4,normal,1,23.73
1,720,49,0.0,4.28,abnormal,1,22.37
1,720,1030,0.0,7.76,normal,1,20.71
1,720,797,0.0,10.49,normal,1,3.46
1,720,1078,0.0,15.31,normal,1,98.7
1,720,517,0.0,10.1,normal,1,34.61
1,720,1079,0.0,8.6,normal,1,26.63
1,1007,510,0.0,12.68,normal,1,10.16
1,1007,1049,1.0,9.24,normal,1,71.59
1,1007,201,1.0,7.9,normal,1,26.6
1,1007,961,0.0,12.43,normal,1,21.77
1,1007,1065,1.0,9.09,normal,1,42.37
1,1007,970,1.0,8.23,normal,1,27.69
1,1007,167,0.0,7.16,normal,1,30.99
1,1007,960,1.0,7.3,normal,1,11.75
1,1007,49,0.0,11.28,normal,1,49.02
1,1007,1030,0.0,11.15,normal,1,46.8
1,1007,797,1.0,21.91,abnormal,1,29.35
1,1007,1078,1.0,13.81,normal,1,87.12
1,1007,517,0.0,11.01,normal,1,26.94
1,1007,1079,0.0,12.6,normal,1,19.32
1,510,1049,1.0,9.04,normal,1,84.27
1,510,201,1.0,10.13,normal,1,40.01
1,510,961,1.0,12.1,normal,1,23.55
1,510,1065,1.0,6.21,normal,1,71.16
1,510,970,1.0,10.54,normal,1,56.17
1,510,167,1.0,12.74,normal,1,17.81
1,510,960,1.0,8.14,normal,1,55.64
1,510,49,0.0,9.6,normal,1,20.73
1,510,1030,1.0,6.68,normal,1,19.2
1,510,797,1.0,13.18,normal,1,29.22
1,510,1078,1.0,11.22,normal,1,141.7
1,510,517,1.0,11.94,normal,1,13.1
1,510,1079,0.0,10.49,normal,1,35.62
1,1049,201,0.0,10.32,normal,1,49.36
1,1049,961,0.5,11.02,normal,1,125.42
1,1049,1065,0.0,10.62,normal,1,38.64
1,1049,970,0.0,7.11,normal,1,66.8
1,1049,167,0.0,9.91,normal,1,152.29
1,1049,960,0.0,8.47,normal,1,93.62
1,1049,49,0.0,11.6,normal,1,196.87
1,1049,1030,0.0,7.6,normal,1,175.75
1,1049,797,0.0,12.29,normal,1,141.15
1,1049,1078,0.0,13.71,normal,1,43.34
1,1049,517,0.0,8.76,normal,1,181.06
1,1049,1079,0.0,12.15,normal,1,186.92
1,201,961,1.0,14.61,normal,1,59.55
1,201,1065,0.0,11.64,normal,1,23.94
1,201,970,0.0,20.69,abnormal,1,5.02
1,201,167,1.0,11.41,normal,1,90.13
1,201,960,0.0,9.54,normal,1,17.93
1,201,49,0.0,13.72,normal,1,120.88
1,201,1030,0.0,9.65,normal,1,101.55
1,201,797,1.0,20.24,normal,1,69.06
1,201,1078,1.0,10.9,normal,1,41.15
1,201,517,0.0,9.25,normal,1,79.67
1,201,1079,1.0,10.15,normal,1,87.46
1,961,1065,1.0,8.9,normal,1,56.22
1,961,970,1.0,8.82,normal,1,43.19
1,961,167,0.0,14.91,normal,1,9.11
1,961,960,1.0,9.14,normal,1,27.65
1,961,49,0.0,8.49,normal,1,58.08
